Events CW1&2,Events CW1&2&3,Temperature[C],Pressure[Pa],Date[MM/DD/YYYY],RTC[H:M:S EST],Timer[S],Latitude,Longitude,Altitude[m],Sats,Accel x,Accel y,Accel z,Gyro x,Gyro y,Gyro z,Mag x,Mag y,Mag z,Battery[]
60,38,25.5,98439.67,5/31/2026,22:8:16.000,152.2069889573703,40.65046,-78.01736,332.5,9,-0.23689,9.77827,0.71186,0.02199,-0.0391,-0.00855,-72.44957,32.38819,-64.96638,86
60,39,25.5,98439.67,5/31/2026,22:8:16.000,152.2167539573703,40.65046,-78.01736,332.5,9,-0.23689,9.77827,0.71186,0.02199,-0.0391,-0.00855,-72.44957,32.38819,-64.96638,86
61,39,25.5,98441.14,5/31/2026,22:8:16.368,152.5761289573703,40.65046,-78.01736,332.5,9,-0.12203,9.66461,0.57906,0.04276,-0.04398,0.0281,-72.4642,33.11897,-66.23794,86
61,40,25.5,98441.14,5/31/2026,22:8:16.368,152.5858949573703,40.65046,-78.01736,332.5,9,-0.12203,9.66461,0.57906,0.04276,-0.04398,0.0281,-72.4642,33.11897,-66.23794,86
62,40,25.51,98445.28,5/31/2026,22:8:19.321,155.9325739573703,40.65046,-78.01736,332.5,8,1.28255,19.87598,-2.87617,0.14539,0.5339,1.08978,-74.02805,32.4905,-64.68868,86
62,41,25.51,98445.28,5/31/2026,22:8:19.321,155.94331695737029,40.65046,-78.01736,332.5,8,1.28255,19.87598,-2.87617,0.14539,0.5339,1.08978,-74.02805,32.4905,-64.68868,86
63,41,25.52,98439.23,5/31/2026,22:8:22.005,158.1884339573703,40.65046,-78.01737,332.5,8,-1.17607,8.79602,1.84846,-0.53145,-0.12339,0.26023,-75.06577,30.98509,-68.67875,86
63,42,25.52,98439.23,5/31/2026,22:8:22.005,158.1981989573703,40.65046,-78.01737,332.5,8,-1.17607,8.79602,1.84846,-0.53145,-0.12339,0.26023,-75.06577,30.98509,-68.67875,86
64,42,25.53,98448.88,5/31/2026,22:8:23.530,160.1552309573703,40.65045,-78.01736,332.5,9,-0.2345,9.76631,0.8351,0.02077,0.03665,0.0,-76.13271,32.65127,-65.98948,86
65,42,25.54,98437.29,5/31/2026,22:8:26.034,162.1845279573703,40.65044,-78.01734,332.4,7,-0.19143,9.88236,0.72622,0.03299,-0.0391,-0.00367,-76.42502,32.66589,-67.59719,86
65,43,25.54,98437.29,5/31/2026,22:8:26.034,162.1942929573703,40.65044,-78.01734,332.4,7,-0.19143,9.88236,0.72622,0.03299,-0.0391,-0.00367,-76.42502,32.66589,-67.59719,86
66,43,25.54,98442.88,5/31/2026,22:8:26.148,162.7616759573703,40.65044,-78.01734,332.4,7,-0.18425,9.77229,0.74536,0.02321,-0.0391,-0.00367,-76.23502,32.85589,-66.83718,86
67,43,25.54,98444.28,5/31/2026,22:8:26.217,162.8300349573703,40.65044,-78.01734,332.4,7,-0.16989,9.76511,0.75015,0.02443,-0.04032,-0.00489,-76.46886,33.4259,-67.30488,86
67,44,25.54,98444.28,5/31/2026,22:8:26.217,162.8398009573703,40.65044,-78.01734,332.4,7,-0.16989,9.76511,0.75015,0.02443,-0.04032,-0.00489,-76.46886,33.4259,-67.30488,86
68,44,25.55,98440.98,5/31/2026,22:8:28.116,164.7255429573703,40.65043,-78.01734,332.4,7,-0.18066,9.82134,0.73699,0.02321,-0.03665,-0.00489,-75.66501,32.73896,-66.36948,86
68,45,25.55,98440.98,5/31/2026,22:8:28.116,164.7353089573703,40.65043,-78.01734,332.4,7,-0.18066,9.82134,0.73699,0.02321,-0.03665,-0.00489,-75.66501,32.73896,-66.36948,86
69,45,25.56,98440.48,5/31/2026,22:8:30.166,166.77144195737029,40.65044,-78.01733,332.4,7,-0.25244,9.76152,0.64008,0.01588,-0.04032,-0.011,-75.34347,31.89126,-66.01871,86
69,46,25.56,98440.48,5/31/2026,22:8:30.166,166.7821839573703,40.65044,-78.01733,332.4,7,-0.25244,9.76152,0.64008,0.01588,-0.04032,-0.011,-75.34347,31.89126,-66.01871,86
70,46,25.56,98440.72,5/31/2026,22:8:31.034,167.2284729573703,40.65044,-78.01733,332.5,8,-0.21176,9.76631,0.73819,0.02443,-0.0391,-0.00367,-75.24116,32.16895,-66.06255,86
70,47,25.56,98440.72,5/31/2026,22:8:31.034,167.2382389573703,40.65044,-78.01733,332.5,8,-0.21176,9.76631,0.73819,0.02443,-0.0391,-0.00367,-75.24116,32.16895,-66.06255,86
71,47,25.57,98439.31,5/31/2026,22:8:33.151,169.3173399573703,40.65044,-78.0173,332.4,8,-0.43549,9.85963,0.43908,0.01833,-0.18448,-0.01833,-75.05116,32.05203,-66.15025,86
71,48,25.57,98439.31,5/31/2026,22:8:33.151,169.3271059573703,40.65044,-78.0173,332.4,8,-0.43549,9.85963,0.43908,0.01833,-0.18448,-0.01833,-75.05116,32.05203,-66.15025,86
